Name,Type1,Type2,Evolution,image_path,width,height,aspect_ratio,mode,format,file_size_kb,has_alpha,transparent_ratio,mean_r,mean_g,mean_b,brightness,contrast,is_dual_type
bulbasaur,Grass,Poison,ivysaur,C:\Users\Newsk\Downloads\pokemon\data\images\bulbasaur.png,120,120,1.0,RGBA,PNG,2.740234375,True,0.90125,140.556258790436,191.7454289732771,160.75035161744023,172.9064282700422,40.50918835985201,True
ivysaur,Grass,Poison,venusaur,C:\Users\Newsk\Downloads\pokemon\data\images\ivysaur.png,120,120,1.0,RGBA,PNG,3.7509765625,True,0.8563194444444444,143.6384726921218,154.58820686321894,161.13533107781538,152.0606085065249,47.33975438564127,True
venusaur,Grass,Poison,,C:\Users\Newsk\Downloads\pokemon\data\images\venusaur.png,120,120,1.0,RGBA,PNG,6.9482421875,True,0.7238888888888889,144.22258551307846,174.9177565392354,168.93435613682092,165.05779275653921,46.67039467706143,True
charmander,Fire,,charmeleon,C:\Users\Newsk\Downloads\pokemon\data\images\charmander.png,120,120,1.0,RGBA,PNG,2.8291015625,True,0.905625,213.31788079470198,175.44150110375276,126.02869757174393,181.13347902869756,42.752871441005915,False
charmeleon,Fire,,charizard,C:\Users\Newsk\Downloads\pokemon\data\images\charmeleon.png,120,120,1.0,RGBA,PNG,3.7060546875,True,0.8813888888888889,218.31381733021078,150.307962529274,121.96487119437938,167.4106007025761,43.03869649425817,False
charizard,Fire,Flying,,C:\Users\Newsk\Downloads\pokemon\data\images\charizard.png,120,120,1.0,RGBA,PNG,6.8095703125,True,0.7206944444444445,163.9920437593237,163.87767279960218,128.24341123818996,159.84956389855793,48.88022997151196,True
squirtle,Water,,wartortle,C:\Users\Newsk\Downloads\pokemon\data\images\squirtle.png,120,120,1.0,RGBA,PNG,2.9658203125,True,0.8946527777777777,142.9960448253131,181.3744232036915,182.4205669083718,170.0185484508899,44.097782370767476,False
wartortle,Water,,blastoise,C:\Users\Newsk\Downloads\pokemon\data\images\wartortle.png,120,120,1.0,RGBA,PNG,4.0986328125,True,0.8421527777777778,176.1860976682798,188.56709194896612,197.5816102067752,185.89282974043115,44.21272964379944,False
blastoise,Water,,,C:\Users\Newsk\Downloads\pokemon\data\images\blastoise.png,120,120,1.0,RGBA,PNG,6.5732421875,True,0.7019444444444445,166.7763280521901,175.59040074557316,183.81337371854613,173.89241192917055,55.17583855140598,False
caterpie,Bug,,metapod,C:\Users\Newsk\Downloads\pokemon\data\images\caterpie.png,120,120,1.0,RGBA,PNG,2.279296875,True,0.9434027777777778,152.9926380368098,171.9361963190184,103.91042944785276,158.51713496932516,49.425713260452625,False
metapod,Bug,,butterfree,C:\Users\Newsk\Downloads\pokemon\data\images\metapod.png,120,120,1.0,RGBA,PNG,2.328125,True,0.9230555555555555,141.74097472924188,182.03429602888087,90.3384476534296,159.53326624548737,48.43563770233836,False
butterfree,Bug,Flying,,C:\Users\Newsk\Downloads\pokemon\data\images\butterfree.png,120,120,1.0,RGBA,PNG,5.1533203125,True,0.8031944444444444,154.9985885673959,155.3426252646436,160.6302046577276,155.8425423429781,81.06441915605002,True
weedle,Bug,Poison,kakuna,C:\Users\Newsk\Downloads\pokemon\data\images\weedle.png,120,120,1.0,RGBA,PNG,1.771484375,True,0.9513888888888888,199.83857142857144,166.10857142857142,132.50428571428571,172.36295285714286,50.41618512138231,True
kakuna,Bug,Poison,beedrill,C:\Users\Newsk\Downloads\pokemon\data\images\kakuna.png,120,120,1.0,RGBA,PNG,2.5478515625,True,0.9170138888888889,198.58661087866108,179.12887029288703,94.47364016736401,175.2960384937238,54.49952743358306,True
beedrill,Bug,Poison,,C:\Users\Newsk\Downloads\pokemon\data\images\beedrill.png,120,120,1.0,RGBA,PNG,6.2392578125,True,0.7970138888888889,203.78891549777626,200.23332192952446,190.16216216216216,200.14833219295244,59.972602982976255,True
pidgey,Normal,Flying,pidgeotto,C:\Users\Newsk\Downloads\pokemon\data\images\pidgey.png,120,120,1.0,RGBA,PNG,2.4521484375,True,0.9299305555555556,192.31615460852328,175.7542120911794,136.38057482656095,176.21763825569872,59.953374301284946,True
pidgeotto,Normal,Flying,pidgeot,C:\Users\Newsk\Downloads\pokemon\data\images\pidgeotto.png,120,120,1.0,RGBA,PNG,4.1201171875,True,0.8742361111111111,198.64384318056324,172.73219215902816,134.3036996134732,176.09892766427387,57.67028846781577,True
pidgeot,Normal,Flying,,C:\Users\Newsk\Downloads\pokemon\data\images\pidgeot.png,120,120,1.0,RGBA,PNG,5.673828125,True,0.8011111111111111,211.95530726256985,198.13477653631284,156.27444134078212,197.49503701117317,51.94330187957789,True
rattata,Normal,,raticate,C:\Users\Newsk\Downloads\pokemon\data\images\rattata.png,120,120,1.0,RGBA,PNG,2.611328125,True,0.9314583333333333,172.26545086119555,149.38196555217831,168.05775075987842,158.3531671732523,46.1921761728543,False
raticate,Normal,,,C:\Users\Newsk\Downloads\pokemon\data\images\raticate.png,120,120,1.0,RGBA,PNG,3.8330078125,True,0.8775694444444444,204.50765740215542,173.13896766874646,120.78048780487805,176.54933919455473,46.99261880842263,False
spearow,Normal,Flying,fearow,C:\Users\Newsk\Downloads\pokemon\data\images\spearow.png,120,120,1.0,RGBA,PNG,2.53515625,True,0.92875,190.7943469785575,152.5662768031189,133.81384015594543,161.85869200779726,52.0556838399189,True
fearow,Normal,Flying,,C:\Users\Newsk\Downloads\pokemon\data\images\fearow.png,120,120,1.0,RGBA,PNG,6.4091796875,True,0.7904166666666667,182.79324055666004,140.67329357190192,97.96123260437376,148.39798277004638,37.90925560814648,True
ekans,Poison,,arbok,C:\Users\Newsk\Downloads\pokemon\data\images\ekans.png,120,120,1.0,RGBA,PNG,1.890625,True,0.9282638888888889,179.94482090997096,139.25750242013552,173.70087124878992,155.34955469506292,39.011677914031225,False
arbok,Poison,,,C:\Users\Newsk\Downloads\pokemon\data\images\arbok.png,120,120,1.0,RGBA,PNG,3.9521484375,True,0.8495833333333334,151.84395198522623,139.09926131117268,158.93028624192058,145.17066066481993,49.97781601722057,False
pikachu,Electric,,raichu,C:\Users\Newsk\Downloads\pokemon\data\images\pikachu.png,120,120,1.0,RGBA,PNG,3.091796875,True,0.88,220.01099537037038,203.73784722222223,114.29282407407408,198.40678587962964,42.059865934025275,False
raichu,Electric,,,C:\Users\Newsk\Downloads\pokemon\data\images\raichu.png,120,120,1.0,RGBA,PNG,4.98828125,True,0.8244444444444444,205.3564082278481,183.9375,111.12223101265823,182.04081289556964,56.52208343895561,False
sandshrew,Ground,,sandslash,C:\Users\Newsk\Downloads\pokemon\data\images\sandshrew.png,120,120,1.0,RGBA,PNG,2.7685546875,True,0.9122916666666667,213.53840063341252,197.6856690419636,130.00158353127475,194.7096500395883,46.85574000061254,False
sandslash,Ground,,,C:\Users\Newsk\Downloads\pokemon\data\images\sandslash.png,120,120,1.0,RGBA,PNG,4.673828125,True,0.8369444444444445,187.43739352640546,162.55749574105621,103.07964224872232,163.21610988074957,63.67873161730113,False
nidoran-f,Poison,,nidorina,C:\Users\Newsk\Downloads\pokemon\data\images\nidoran-f.png,120,120,1.0,RGBA,PNG,2.2861328125,True,0.9322222222222222,168.24077868852459,179.94672131147541,202.84016393442624,179.0564969262295,50.52627352232963,False
nidorina,Poison,,nidoqueen,C:\Users\Newsk\Downloads\pokemon\data\images\nidorina.png,120,120,1.0,RGBA,PNG,3.0869140625,True,0.8967361111111111,171.45057162071285,192.728984532616,202.186953597848,187.4449475453934,50.99741563938681,False
