Name,Type1,Type2,Evolution
poipole,Poison,,
cottonee,Grass,Fairy,
hoppip,Grass,Flying,
moltres,Fire,Flying,
umbreon,Dark,,
mudkip,Water,,
yungoos,Normal,,
hydreigon,Dark,Dragon,
palossand,Ghost,Ground,
simipour,Water,,
camerupt,Fire,Ground,
chingling,Psychic,,
sewaddle,Bug,Grass,
mismagius,Ghost,,
naganadel,Poison,Dragon,
sableye,Dark,Ghost,
feebas,Water,,
jolteon,Electric,,
cradily,Rock,Grass,
gabite,Dragon,Ground,
seel,Water,,
cubchoo,Ice,,
hippopotas,Ground,,
stantler,Normal,,
roselia,Grass,Poison,
timburr,Fighting,,
cosmoem,Psychic,,
silvally,Normal,,
croagunk,Poison,Fighting,
reuniclus,Psychic,,
munchlax,Normal,,
emboar,Fire,Fighting,
swampert,Water,Ground,
gorebyss,Water,,
shiinotic,Grass,Fairy,
mr-mime,Psychic,Fairy,
beedrill,Bug,Poison,
herdier,Normal,,
charjabug,Bug,Electric,
rattata,Normal,,raticate
lilligant,Grass,,
leavanny,Bug,Grass,
buneary,Normal,,
thundurus-incarnate,Electric,Flying,
pachirisu,Electric,,
tangela,Grass,,
beldum,Steel,Psychic,
loudred,Normal,,
slakoth,Normal,,
maractus,Grass,,
solrock,Rock,Psychic,
relicanth,Water,Rock,
skitty,Normal,,
machamp,Fighting,,
krabby,Water,,
wailmer,Water,,
primeape,Fighting,,
azumarill,Water,Fairy,
florges,Fairy,,
eevee,Normal,,
weavile,Dark,Ice,
cubone,Ground,,
serperior,Grass,,
snover,Grass,Ice,
houndoom,Dark,Fire,
pupitar,Rock,Ground,
swanna,Water,Flying,
buzzwole,Bug,Fighting,
flaaffy,Electric,,
arcanine,Fire,,
smoochum,Ice,Psychic,
lunala,Psychic,Ghost,
phione,Water,,
aggron,Steel,Rock,
minccino,Normal,,
muk,Poison,,
giratina-altered,Ghost,Dragon,
togekiss,Fairy,Flying,
spiritomb,Ghost,Dark,
grovyle,Grass,,
electivire,Electric,,
aipom,Normal,,
tynamo,Electric,,
emolga,Electric,Flying,
monferno,Fire,Fighting,
bagon,Dragon,,
kadabra,Psychic,,alakazam
litten,Fire,,
lickitung,Normal,,
pidove,Normal,Flying,
fomantis,Grass,,
rhydon,Ground,Rock,
sigilyph,Psychic,Flying,
charmeleon,Fire,,charizard
sealeo,Ice,Water,
groudon,Ground,,
clefable,Fairy,,
larvitar,Rock,Ground,
wigglytuff,Normal,Fairy,
piplup,Water,,
staravia,Normal,Flying,
binacle,Rock,Water,
roggenrola,Rock,,
jellicent,Water,Ghost,
krokorok,Ground,Dark,
duskull,Ghost,,
escavalier,Bug,Steel,
yanmega,Bug,Flying,
dustox,Bug,Poison,
golbat,Poison,Flying,
mudsdale,Ground,,
tapu-fini,Water,Fairy,
shinx,Electric,,
medicham,Fighting,Psychic,
cranidos,Rock,,
weedle,Bug,Poison,kakuna
torterra,Grass,Ground,
slaking,Normal,,
liepard,Dark,,
shelgon,Dragon,,
snorunt,Ice,,
toxapex,Poison,Water,
vanilluxe,Ice,,
vibrava,Ground,Dragon,
amoonguss,Grass,Poison,
dusclops,Ghost,,
decidueye,Grass,Ghost,
unown,Psychic,,
sliggoo,Dragon,,
torkoal,Fire,,
pansear,Fire,,
gogoat,Grass,,
barbaracle,Rock,Water,
celebi,Psychic,Grass,
trubbish,Poison,,
darumaka,Fire,,
deerling,Normal,Grass,
ledyba,Bug,Flying,
glalie,Ice,,
froakie,Water,,
oshawott,Water,,
mienshao,Fighting,,
jynx,Ice,Psychic,
drilbur,Ground,,
fennekin,Fire,,
hawlucha,Fighting,Flying,
torchic,Fire,,
lanturn,Water,Electric,
ursaring,Normal,,
trevenant,Ghost,Grass,
tangrowth,Grass,,
marill,Water,Fairy,
pichu,Electric,,
xerneas,Fairy,,
paras,Bug,Grass,
simisear,Fire,,
magneton,Electric,Steel,
lombre,Water,Grass,
diancie,Rock,Fairy,
clauncher,Water,,
cryogonal,Ice,,
charmander,Fire,,charmeleon
swinub,Ice,Ground,
dragonair,Dragon,,
pangoro,Fighting,Dark,
shuppet,Ghost,,
venusaur,Grass,Poison,
lampent,Ghost,Fire,
clefairy,Fairy,,clefable
cobalion,Steel,Fighting,
rhyperior,Ground,Rock,
feraligatr,Water,,
klang,Steel,,
duosion,Psychic,,
incineroar,Fire,Dark,
pidgeot,Normal,Flying,
pelipper,Water,Flying,
shelmet,Bug,,
huntail,Water,,
gulpin,Poison,,
nidoking,Poison,Ground,
bisharp,Dark,Steel,
trapinch,Ground,,
bounsweet,Grass,,
terrakion,Rock,Fighting,
mesprit,Psychic,,
ariados,Bug,Poison,
gible,Dragon,Ground,
blastoise,Water,,
mudbray,Ground,,
spritzee,Fairy,,
magnemite,Electric,Steel,
dewgong,Water,Ice,
wooper,Water,Ground,
pignite,Fire,Fighting,
staryu,Water,,
shellder,Water,,
kakuna,Bug,Poison,beedrill
lunatone,Rock,Psychic,
treecko,Grass,,
magmar,Fire,,
bouffalant,Normal,,
tranquill,Normal,Flying,
croconaw,Water,,
pikipek,Normal,Flying,
scizor,Bug,Steel,
scolipede,Bug,Poison,
magikarp,Water,,
mew,Psychic,,
keldeo-ordinary,Water,Fighting,
chinchou,Water,Electric,
goodra,Dragon,,
cinccino,Normal,,
talonflame,Fire,Flying,
nidoran-m,Poison,,nidorino
sylveon,Fairy,,
turtonator,Fire,Dragon,
alakazam,Psychic,,
skrelp,Poison,Water,
geodude,Rock,Ground,
lumineon,Water,,
goldeen,Water,,
celesteela,Steel,Flying,
rapidash,Fire,,
farfetchd,Normal,Flying,
druddigon,Dragon,,
mareep,Electric,,
mankey,Fighting,,primeape
watchog,Normal,,
pineco,Bug,,
pinsir,Bug,,
deino,Dark,Dragon,
conkeldurr,Fighting,,
floatzel,Water,,
lillipup,Normal,,
zigzagoon,Normal,,
hitmontop,Fighting,,
beheeyem,Psychic,,
genesect,Bug,Steel,
gloom,Grass,Poison,
blissey,Normal,,
scyther,Bug,Flying,
chimecho,Psychic,,
dialga,Steel,Dragon,
braviary,Normal,Flying,
stunfisk,Ground,Electric,
porygon-z,Normal,,
forretress,Bug,Steel,
bronzor,Steel,Psychic,
fletchinder,Fire,Flying,
meloetta-aria,Normal,Psychic,
hitmonlee,Fighting,,
alomomola,Water,,
garchomp,Dragon,Ground,
pumpkaboo-average,Ghost,Grass,
volcanion,Fire,Water,
inkay,Dark,Psychic,
helioptile,Electric,Normal,
omastar,Rock,Water,
hitmonchan,Fighting,,
gligar,Ground,Flying,
finneon,Water,,
chesnaught,Grass,Fighting,
espeon,Psychic,,
sceptile,Grass,,
illumise,Bug,,
araquanid,Water,Bug,
masquerain,Bug,Flying,
wormadam-plant,Bug,Grass,
cherrim,Grass,,
azelf,Psychic,,
throh,Fighting,,
charizard,Fire,Flying,
milotic,Water,,
cascoon,Bug,,
magearna,Steel,Fairy,
pawniard,Dark,Steel,
phantump,Ghost,Grass,
toxicroak,Poison,Fighting,
passimian,Fighting,,
carvanha,Water,Dark,
xatu,Psychic,Flying,
unfezant,Normal,Flying,
woobat,Psychic,Flying,
quagsire,Water,Ground,
zeraora,Electric,,
venomoth,Bug,Poison,
meltan,Steel,,
lileep,Rock,Grass,
claydol,Ground,Psychic,
delibird,Ice,Flying,
starly,Normal,Flying,
froslass,Ice,Ghost,
exeggutor,Grass,Psychic,
porygon,Normal,,
carracosta,Water,Rock,
voltorb,Electric,,
lairon,Steel,Rock,
poochyena,Dark,,
scraggy,Dark,Fighting,
octillery,Water,,
bulbasaur,Grass,Poison,ivysaur
caterpie,Bug,,metapod
doublade,Steel,Ghost,
combee,Bug,Flying,
delcatty,Normal,,
munna,Psychic,,
jangmo-o,Dragon,,
victreebel,Grass,Poison,
nosepass,Rock,,
aurorus,Rock,Ice,
clamperl,Water,,
audino,Normal,,
dewpider,Water,Bug,
deoxys-normal,Psychic,,
volcarona,Bug,Fire,
slowking,Water,Psychic,
mewtwo,Psychic,,
baltoy,Ground,Psychic,
arbok,Poison,,
chikorita,Grass,,
grimer,Poison,,
volbeat,Bug,,
golisopod,Bug,Water,
furfrou,Normal,,
blaziken,Fire,Fighting,
azurill,Normal,Fairy,
archeops,Rock,Flying,
skiddo,Grass,,
bibarel,Normal,Water,
whirlipede,Bug,Poison,
venonat,Bug,Poison,
snorlax,Normal,,
dewott,Water,,
floette,Fairy,,
golem,Rock,Ground,
tyrunt,Rock,Dragon,
combusken,Fire,Fighting,
golduck,Water,,
ampharos,Electric,,
drowzee,Psychic,,
seedot,Grass,,
vanillite,Ice,,
cutiefly,Bug,Fairy,
swellow,Normal,Flying,
weezing,Poison,,
kricketot,Bug,,
ambipom,Normal,,
electabuzz,Electric,,
castform,Normal,,
zweilous,Dark,Dragon,
slowbro,Water,Psychic,
cherubi,Grass,,
comfey,Fairy,,
squirtle,Water,,wartortle
salazzle,Poison,Fire,
clawitzer,Water,,
zekrom,Dragon,Electric,
bewear,Normal,Fighting,
lurantis,Grass,,
steelix,Steel,Ground,
abra,Psychic,,kadabra
ledian,Bug,Flying,
girafarig,Normal,Psychic,
mantine,Water,Flying,
crawdaunt,Water,Dark,
necrozma,Psychic,,
metang,Steel,Psychic,
meowth,Normal,,persian
venipede,Bug,Poison,
porygon2,Normal,,
blacephalon,Fire,Ghost,
pikachu,Electric,,raichu
lapras,Water,Ice,
donphan,Ground,,
ralts,Psychic,Fairy,
horsea,Water,,
murkrow,Dark,Flying,
heatmor,Fire,,
luxio,Electric,,
quilava,Fire,,
nidoqueen,Poison,Ground,
smeargle,Normal,,
misdreavus,Ghost,,
flygon,Ground,Dragon,
cresselia,Psychic,,
tauros,Normal,,
barboach,Water,Ground,
gastrodon,Water,Ground,
onix,Rock,Ground,
sawsbuck,Normal,Grass,
oricorio-baile,Fire,Flying,
pancham,Fighting,,
noibat,Flying,Dragon,
minun,Electric,,
linoone,Normal,,
ferrothorn,Grass,Steel,
ninjask,Bug,Flying,
breloom,Grass,Fighting,
granbull,Fairy,,
metagross,Steel,Psychic,
suicune,Water,,
hippowdon,Ground,,
aron,Steel,Rock,
absol,Dark,,
chatot,Normal,Flying,
marowak,Ground,,
ducklett,Water,Flying,
lycanroc-midday,Rock,,
torracat,Fire,,
meditite,Fighting,Psychic,
skuntank,Poison,Dark,
glaceon,Ice,,
bruxish,Water,Psychic,
axew,Dragon,,
samurott,Water,,
zebstrika,Electric,,
pansage,Grass,,
vikavolt,Bug,Electric,
natu,Psychic,Flying,
heatran,Fire,Steel,
meganium,Grass,,
lickilicky,Normal,,
teddiursa,Normal,,
patrat,Normal,,
articuno,Ice,Flying,
zangoose,Normal,,
qwilfish,Water,Poison,
shieldon,Rock,Steel,
mamoswine,Ice,Ground,
steenee,Grass,,
foongus,Grass,Poison,
gourgeist-average,Ghost,Grass,
gothitelle,Psychic,,
rotom,Electric,Ghost,
noivern,Flying,Dragon,
kyurem,Dragon,Ice,
mandibuzz,Dark,Flying,
hoopa-confined,Psychic,Ghost,
persian,Normal,,
corphish,Water,,
sandygast,Ghost,Ground,
hypno,Psychic,,
hoothoot,Normal,Flying,
chespin,Grass,,
eelektross,Electric,,
espurr,Psychic,,
rufflet,Normal,Flying,
tentacruel,Water,Poison,
shroomish,Grass,,
ekans,Poison,,arbok
cacnea,Grass,,
zorua,Dark,,
mantyke,Water,Flying,
diglett,Ground,,dugtrio
trumbeak,Normal,Flying,
crobat,Poison,Flying,
poliwhirl,Water,,poliwrath
plusle,Electric,,
regirock,Rock,,
magby,Fire,,
shiftry,Grass,Dark,
chimchar,Fire,,
kricketune,Bug,,
dratini,Dragon,,
raichu,Electric,,
wingull,Water,Flying,
larvesta,Bug,Fire,
regice,Ice,,
happiny,Normal,,
bonsly,Rock,,
rockruff,Rock,,
grotle,Grass,,
banette,Ghost,,
tentacool,Water,Poison,
mightyena,Dark,,
parasect,Bug,Grass,
furret,Normal,,
sudowoodo,Rock,,
dragonite,Dragon,Flying,
fraxure,Dragon,,
panpour,Water,,
altaria,Dragon,Flying,
kabuto,Rock,Water,
drifblim,Ghost,Flying,
pyroar,Fire,Normal,
darkrai,Dark,,
klefki,Steel,Fairy,
ribombee,Bug,Fairy,
carbink,Rock,Fairy,
seaking,Water,,
greninja,Water,Dark,
lucario,Fighting,Steel,
sentret,Normal,,
gastly,Ghost,Poison,
tyranitar,Rock,Dark,
klinklang,Steel,,
vespiquen,Bug,Flying,
pidgey,Normal,Flying,pidgeotto
kingdra,Water,Dragon,
gothorita,Psychic,,
nidoran-f,Poison,,nidorina
electrike,Electric,,
luxray,Electric,,
magnezone,Electric,Steel,
gallade,Psychic,Fighting,
ludicolo,Water,Grass,
totodile,Water,,
dugtrio,Ground,,
toucannon,Normal,Flying,
bidoof,Normal,,
oddish,Grass,Poison,
yveltal,Dark,Flying,
sandshrew,Ground,,sandslash
slugma,Fire,,
cacturne,Grass,Dark,
budew,Grass,Poison,
riolu,Fighting,,
sneasel,Dark,Ice,
koffing,Poison,,
slurpuff,Fairy,,
wurmple,Bug,,
kartana,Grass,Steel,
leafeon,Grass,,
dwebble,Bug,Rock,
minior-meteor,Rock,Flying,
morelull,Grass,Fairy,
salandit,Poison,Fire,
bellossom,Grass,,
armaldo,Rock,Bug,
cofagrigus,Ghost,,
makuhita,Fighting,,
kyogre,Water,,
spewpa,Bug,,
delphox,Fire,Psychic,
miltank,Normal,,
reshiram,Dragon,Fire,
igglybuff,Normal,Fairy,
togetic,Fairy,Flying,
durant,Bug,Steel,
frillish,Water,Ghost,
swoobat,Psychic,Flying,
glameow,Normal,,
spearow,Normal,Flying,fearow
shedinja,Bug,Ghost,
honedge,Steel,Ghost,
ivysaur,Grass,Poison,venusaur
zubat,Poison,Flying,
empoleon,Water,Steel,
musharna,Psychic,,
hariyama,Fighting,,
slowpoke,Water,Psychic,
vigoroth,Normal,,
simisage,Grass,,
surskit,Bug,Water,
meowstic-male,Psychic,,
nihilego,Rock,Poison,
popplio,Water,,
abomasnow,Grass,Ice,
skiploom,Grass,Flying,
yamask,Ghost,,
tapu-bulu,Grass,Fairy,
latias,Dragon,Psychic,
crabominable,Fighting,Ice,
braixen,Fire,,
